,longitude,latitude,zestimate_average
0,-78.66788240540541,35.88554813513514,452917.9459459459
1,-78.89559779545455,36.006733045454546,490635.0
2,-78.77177553333334,35.801067233333335,375706.5
3,-78.62877021212121,35.76865236363636,392233.54545454547
4,-78.55084543478262,35.84700891304348,297303.39130434784
5,-78.908542,35.840775,814822.1481481482
6,-78.68230973333333,35.66460033333333,375974.13333333336
7,-78.78460785,35.9241441,444023.0
8,-78.96076368181818,36.04312409090909,478678.2272727273
9,-78.82766058620689,35.76376993103448,525643.448275862
10,-78.94700447368422,35.957579736842106,670523.1315789474
11,-78.62646294444444,35.9359575,1065824.6666666667
12,-78.80656767647059,35.7993915,426921.85294117645
13,-78.6694378235294,35.80414902941177,867526.9705882353
14,-78.90988664285715,36.09127057142857,259745.57142857142
15,-78.67307257894737,35.96999010526316,857700.2105263158
16,-78.82478045,35.9896108,223180.25
17,-78.85134642222222,35.814585199999996,579292.088888889
18,-78.71763646153846,35.782128769230766,370379.76923076925
19,-78.59913114705883,35.88732502941176,427128.5
20,-78.91925125806452,35.92907506451613,287320.0
21,-78.51751218181818,35.89769436363636,297283.1818181818
22,-78.79377742307693,35.71044280769231,562768.3846153846
23,-78.74772648148148,35.921471259259256,410024.48148148146
24,-78.85740554166668,35.94756579166667,314140.0833333333
25,-78.73960847368421,35.711983000000004,734253.7894736842
26,-78.90315265217392,35.971426739130436,207769.52173913043
27,-78.53717481818182,35.73394918181818,281607.63636363635
28,-78.75458677419354,35.74940387096774,452364.77419354836
29,-78.82067240740741,35.91026933333333,463893.037037037
30,-78.86223110526316,36.12122947368421,443108.2631578947
31,-78.71935564,35.8837882,466200.76
32,-78.6299105,35.85133288461539,456981.23076923075
33,-78.997192,35.979782875,593551.75
34,-78.55608092307692,35.95207,520543.3076923077
35,-78.8789846060606,35.8137526060606,520685.3333333333
36,-78.69706346153846,35.63880361538462,387164.3846153846
37,-78.85565547368421,35.77808639473684,474216.4210526316
38,-78.88885537037036,36.046764851851854,215187.22222222222
39,-78.92500771794872,35.89649466666667,384241.89743589744
40,-78.7052765,35.8394171,645958.2333333333
41,-78.66836095652174,35.918686782608695,525087.0434782609
42,-78.5470575,35.80782005,294906.7
43,-79.01066642857143,36.044327714285714,550940.2857142857
44,-78.82089507142857,36.03399292857143,248038.92857142858
45,-78.93022496153846,36.028993923076925,336351.0
46,-78.52218685714286,35.863170000000004,322208.8214285714
47,-78.66205203125,35.8408123125,732098.0625
48,-78.585667,35.81598109090909,222267.72727272726
49,-78.915310675,35.819467725,671984.825
50,-78.94946242857144,35.86063307142857,964808.0714285715
51,-78.96538435294117,36.08193158823529,486003.82352941175
52,-78.87733387096775,35.98874293548387,226461.74193548388
53,-78.60449361538461,35.78526357692308,335138.3461538461
54,-78.67781783333334,35.724431583333335,456607.5
55,-78.63177277142857,35.802535514285715,607908.0857142857
56,-78.70397728571429,35.94815495238095,682038.6666666666
57,-78.80966978378379,35.96171689189189,335323.97297297296
58,-78.65450735,35.61833635,349726.75
59,-78.97372818181817,35.933378636363635,441847.63636363635
60,-78.574318875,35.92104175,420636.8125
61,-78.54938021428572,35.89017771428571,253138.35714285713
62,-78.92490835,35.98144845,399562.7
63,-78.79388763333334,35.76237306666667,428911.56666666665
64,-78.8497395,36.012401374999996,233293.25
